root:INFO 2012-07-08 21:25:32,535 subwayTweets:12:  Begin
root:INFO 2012-07-08 21:26:22,781 subwayTweets:12:  Begin
root:INFO 2012-07-08 21:27:03,393 subwayTweets:12:  Begin
root:INFO 2012-07-08 21:29:47,885 subwayTweets:12:  Begin
root:INFO 2012-07-08 22:06:00,334 subwayTweets:12:  Begin
root:INFO 2012-07-09 07:18:13,433 subwayTweets:12:  Begin
root:INFO 2012-07-09 17:05:00,294 subwayTweets:12:  Begin
root:INFO 2012-07-09 17:05:49,515 subwayTweets:12:  Begin
root:INFO 2012-07-09 17:28:03,309 subwayTweets:14:  Begin
root:INFO 2012-07-09 17:29:20,213 subwayTweets:14:  Begin
root:INFO 2012-07-09 17:29:50,286 subwayTweets:14:  Begin
root:INFO 2012-07-09 17:32:42,661 subwayTweets:14:  Begin
root:INFO 2012-07-09 17:38:46,829 subwayTweets:14:  Begin
root:INFO 2012-07-09 17:39:21,382 subwayTweets:14:  Begin
root:INFO 2012-07-09 17:42:49,479 subwayTweets:14:  Begin
root:INFO 2012-07-09 17:43:09,550 subwayTweets:14:  Begin
root:INFO 2012-07-09 17:43:52,961 subwayTweets:14:  Begin
root:INFO 2012-07-09 18:12:31,898 subwayTweets:14:  Begin
root:INFO 2012-07-09 18:27:34,386 subwayTweets:14:  Begin
root:INFO 2012-07-09 18:29:52,047 subwayTweets:14:  Begin
root:INFO 2012-07-09 18:31:41,364 subwayTweets:14:  Begin
root:INFO 2012-07-09 18:32:21,363 subwayTweets:14:  Begin
root:INFO 2012-07-09 18:37:51,790 subwayTweets:14:  Begin
root:INFO 2012-07-09 19:07:12,968 subwayTweets:14:  Begin
root:INFO 2012-07-09 19:38:25,325 subwayTweets:14:  Begin
