ts,swLong,swLat,neLong,neLat,tweet
1341873474,-0.2159633,51.48387,-0.109978,51.539768,"Di Indonesia ada Pak RT, disini langsung Polisi mainnya"
1341873474,-0.2159633,51.48387,-0.109978,51.539768,"how can i just all of a sdden forget my work that i am doing! literally ! i have no clue!"
1341873475,-0.2159633,51.48387,-0.109978,51.539768,"Cool things I've seen in #London   @ London http://t.co/hcJeUiei"
1341873478,-0.023651,51.5007211,1.296605,52.092638,"@ddlovato Te amo con todo mi retículo endoplasmático. &lt;3&lt;3"
1341873480,-0.0335507,51.423888,0.123987,51.513563,"Here it comes...
#familyguy"
1341873482,-0.5093057,51.286606,0.334433,51.691672,"to só por ir pra santa maria nesse fim de semana"
1341873483,-0.5093057,51.286606,0.334433,51.691672,"@grandrapidsNY you rock guys !! good luck in future! :))))"
1341873485,-0.2159633,51.48387,-0.109978,51.539768,"Agree …        ليست مجرد كلمه انجليزيه تعني “يوافق” ..بل هو مايقوله المصري حين يهرب =D"
1341873486,-0.5093057,51.286606,0.334433,51.691672,"9. Tu ídolo? Son 5 homosexuales."
1341873488,-0.2159633,51.48387,-0.109978,51.539768,"Last tweet of the night and I wish I was on this boat right now. http://t.co/FEOLB4xy"
1341873488,-0.254563,51.463873,-0.177653,51.532901,"@HiimDavidd who's Dobby?"
1341873490,-0.2159633,51.48387,-0.109978,51.539768,"Agree …        ليست مجرد كلمه انجليزيه تعني “يوافق” ..بل هو مايقوله المصري حين يهرب =D"
1341873493,0.065775,51.508766,0.189997,51.599475,"About to watch a movie with my sister. Fun times CDB!!!!"
1341873497,-0.2159633,51.48387,-0.109978,51.539768,"Cod pavee  @ Galvin Bistro de Luxe http://t.co/b1USckVW"
1341873498,-0.2159633,51.48387,-0.109978,51.539768,"@BeingBoycie You knew I would come to the rescue.. http://t.co/efNOSveH"
1341873500,-6.3651943,49.8825312,1.768926,55.8116485,"@Pippa_khan : nade milaw mata DM, za zama takeaway alam kene bya ba uga wam toola shpa."
1341873500,0.0748022,51.408711,0.223574,51.514998,"@Colacab slippery when wet lol"
1341873502,-0.1415223,51.5185518,-0.076305,51.5749096,"@om4rrrr sen sarhossun bence :)"
1341873504,-0.5093057,51.286606,0.334433,51.691672,"10. Fuiste a algún concierto? Por supuesto."
1341873505,-0.0335507,51.423888,0.123987,51.513563,"@jackrouncivell @cafcloyaljohnno who's bringing a flag ?"
1341873510,-0.2159633,51.48387,-0.109978,51.539768,"@l0nelyteen_ You know I'm only one message away if you need cheering up yeah? x"
1341873513,0.0748022,51.408711,0.223574,51.514998,"Frank Ocean voice is beautiful."
1341873514,-0.5093057,51.286606,0.334433,51.691672,nnn
1341873515,-0.5093057,51.286606,0.334433,51.691672,"11. Agua o Coca-Cola? Las dos."
1341873517,-0.2159633,51.48387,-0.109978,51.539768,"@caborayne Medi w'akyi. Di m'akyi bi wai"
1341873521,-6.3651943,49.8825312,1.768926,55.8116485,"Twitter is really depressing me tonight, i feel so bad for that poor girl, #RIPManon"
1341873521,-0.2159633,51.48387,-0.109978,51.539768,"@EstroMakoni I don't have no mofo-ing bedtime."
1341873523,-0.2159633,51.48387,-0.109978,51.539768,"Temple Run is addictive"
1341873525,-0.2159633,51.48387,-0.109978,51.539768,"@jonolux hola nene :) que tal?"
1341873529,-0.2159633,51.48387,-0.109978,51.539768,"Your going where?  @ London http://t.co/EH8vZ6Lj"
1341873529,-0.5093057,51.286606,0.334433,51.691672,"12. Helado o Postre? Lo mismo que la anterior."
1341873530,0.0748022,51.408711,0.223574,51.514998,"@TheChelseaWay 100%?"
1341873530,-0.2159633,51.48387,-0.109978,51.539768,"LOOOOOOOOOOL Quagmire's soooo gay"
1341873531,-0.1415223,51.5185518,-0.076305,51.5749096,"I'm at Exmouth Market (Islington, Greater London) http://t.co/FxtHQuis"
1341873532,-0.39216,51.391383,-0.221832,51.489578,"iWatch – Apple Watch Concept with iOS http://t.co/gOtbcz92"
1341873533,-0.2159633,51.48387,-0.109978,51.539768,"Seriously, getting annoyed with those who try to bend the rule to the max (if cant say abuse)"
1341873535,-0.2159633,51.48387,-0.109978,51.539768,"omg this is soooo scary! i have forgotten the work im just doing now! :s"
1341873535,-6.3651943,49.8825312,1.768926,55.8116485,"Getting my passport back from the Russains tomorrow &amp; my visa too hopefully."
1341873537,-0.5093057,51.286606,0.334433,51.691672,"my stomach is playing the hunger games."
1341873538,-0.2284741,51.477157,-0.1497908,51.5303498,"Wow was it a mistake leaving Alaska....learnt my lesson!!!"
1341873544,-0.1415223,51.5185518,-0.076305,51.5749096,"I'm at Caravan (EC1R 4QD, London) http://t.co/pFb193ap"
1341873545,-0.5093057,51.286606,0.334433,51.691672,"13. Twitter o Facebook? Twitter."
1341873546,-0.2159633,51.48387,-0.109978,51.539768,"@HollyyMooree Its alright pal Nice To beee Nice and suchh"
1341873547,-0.1415223,51.5185518,-0.076305,51.5749096,"Good luck to my buddy Nick and his girlfriend, they're about to have a baby boy!"
1341873549,-0.5093057,51.286606,0.334433,51.691672,"@Fanaticos21 peleme la pelos hdp"
1341873549,-0.5093057,51.286606,0.334433,51.691672,"nieee ! coś sie stalo z moim profilem na pc i usunely mi sie wszystkie zakladki z mozilli...wie ktos jak mam przywrocic ? :) da sie wogole ?"
1341873549,-0.2159633,51.48387,-0.109978,51.539768,"o an !!! http://t.co/h7QPexba"
1341873552,-0.2159633,51.48387,-0.109978,51.539768,"Assiete de fromage  @ Galvin Bistro de Luxe http://t.co/N0SgBiz0"
1341873554,-0.2159633,51.48387,-0.109978,51.539768,"@kaaylouise_ yesssssss again ffs lol send the pics!"
1341873559,-0.2159633,51.48387,-0.109978,51.539768,"Might go buy myself a playboy magazine."
1341873559,-0.254563,51.463873,-0.177653,51.532901,"@jimbonkers oi sign off on me!"
1341873561,-0.2159633,51.48387,-0.109978,51.539768,"hala, bazen bir ciz ediyor icim beklenmedik anlarda"
1341873562,-0.2159633,51.48387,-0.109978,51.539768,"ma zine voulet un bout dmon mars elle a crut ye tout pti jai dit NON direct"
1341873564,-0.2159633,51.48387,-0.109978,51.539768,"'sadie', 'sloppy', 'amma' &amp; 'jills' are now trending in #London http://t.co/mV2JBtKE"
1341873571,-0.5093057,51.286606,0.334433,51.691672,"15. We♥it o Tumblr? We♥it."
1341873572,-0.2159633,51.48387,-0.109978,51.539768,"@J_Badat Init thats baddd"
1341873573,-0.2159633,51.48387,-0.109978,51.539768,"@RealistBrittz Breath bangs of shit!"
1341873573,-0.5093057,51.286606,0.334433,51.691672,"@drykiran keske sirf bu yuzden gelebilsem.. burda yeterince var uzak dursunlar:)"
1341873574,-0.15169,51.410966,-0.079053,51.509887,"@sinittaofficial Disappointed by #HitFactoryLive? Impossible!!"
1341873575,-0.5093057,51.286606,0.334433,51.691672,"quem lembra ? http://t.co/uhW7SMPC"
1341873581,-0.5093057,51.286606,0.334433,51.691672,"@BobyHoran what is he cooking? xx"
1341873581,0.0748022,51.408711,0.223574,51.514998,"@_lizaswan do u mean beaches and bars? x"
1341873582,-0.2159633,51.48387,-0.109978,51.539768,"Inside out shark at The Natural History Museum  @ London http://t.co/KWHjq5TE"
1341873586,-0.2159633,51.48387,-0.109978,51.539768,"@tofuleader23 IF YOU'RE NOT WITH ME! YOU'RE AGAINST ME! GO BACK TO YOUR SATANIC WAYS! GO BACK!"
1341873589,-0.5093057,51.286606,0.334433,51.691672,"@xFOLLOWME1Dx I'm super shy when it comes to aksing girls especially a cute one with a beautiful smile"
1341873593,-0.2159633,51.48387,-0.109978,51.539768,"@xlovemonkeyx ha ha thanks 
Not going to see it till the morn as I'm working"
1341873593,-6.3651943,49.8825312,1.768926,55.8116485,"@Pippa_khan : wt is dinga a lingg.. see we used to hav such nyts in college. gone are the days :( http://t.co/aJY9hsWX"
1341873596,-0.2159633,51.48387,-0.109978,51.539768,"@CapriHakeem coz scorchers a pussy lol roachee would kill him"
1341873597,0.0748022,51.408711,0.223574,51.514998,"@Cynegeticus brilliant! Do you reckon this transfer will definitley happen?"
1341873597,-0.39216,51.391508,-0.221832,51.489578,Tweet
1341873600,-0.2159633,51.48387,-0.109978,51.539768,"@SGlove1325 ok po.baka po ung lower box,kung san andun cla boss vic...try ko din po i-research..."
1341873600,-0.2159633,51.48387,-0.109978,51.539768,"@BILLYGAMESCITY U would have hated Friends with Kids! Lol! Hurry up home u entrepreneur!! Xx"
1341873605,-0.2159633,51.48387,-0.109978,51.539768,"@YouStalkMe Anything wrong? You can talk to me you know"
